words,pos,dfns
creation,noun," a specially designed dress, hat, or other article of women's clothing, usually distinguished by imaginative or unique styling:"
creative,adjective," having the power to bring something new into being, as a creature, or to evolve something original from one’s own thought or imagination, as a work of art or invention: In the mythologies of the earliest human societies, the predominant ideas about which sex was more important in reproduction may have determined the sex assigned to the universal creative force."
creative,adjective," resulting from originality of thought, expression, etc.; imaginative:"
creative,adjective, originative; productive (usually followed by of ):
creative,adjective," Facetious. using or creating exaggerated or skewed data, information, etc.:"
creative,adjective," the people who design and produce artwork, video, copy, etc., for a business, typically in service of advertising and other aspects of marketing:"
creative,adjective," material made for advertising and other aspects of marketing, as a billboard, video ad, or web page design, or the activity of designing and producing it:"
creative,adjective," a person who is an artist, writer, designer, etc., typically one employed by a business to work in advertising or other aspects of marketing:"
creature,noun," an animal, especially a nonhuman:"
creature,noun," anything created, whether animate or inanimate."
creature,noun, person; human being:
creature,noun, an animate being.
creature,noun, a person whose position or fortune is owed to someone or something and who continues under the control or influence of that person or thing:
creature,noun," Scot. and Older U.S. Use. Usually the creature. intoxicating liquor, especially whiskey:"
credit,noun," commendation or honor given for some action, quality, etc.:"
credit,noun, a source of pride or honor:
credit,noun," the ascription or acknowledgment of something as due or properly attributable to a person, institution, etc.:"
credit,noun, Usually credits. 
credit,noun, trustworthiness; credibility:
credit,noun, influence or authority resulting from the confidence of others or from one's reputation.
credit,noun, favorable repute; reputation; esteem.
credit,noun, Finance. 
credit,noun, a sum of money due to a person; anything valuable standing on the credit side of an account against which a person may draw:
credit,noun, Education. 
credit,noun, Bookkeeping. 
credit,noun, to believe; put confidence in; have faith in; trust.
credit,noun," to bring honor, esteem, etc., to; reflect well upon."
credit,noun, Bookkeeping. to enter upon the credit side of an account; give credit for or to.
credit,noun, Education. to award educational credits to (often followed by with ):
credit,noun," to ascribe to a (thing, person, etc.):"
crew,noun, a group of persons involved in a particular kind of work or working together:
crew,noun, Nautical. 
crew,noun, the people who fly or operate an aircraft or spacecraft.
crew,noun, the team that rows a racing shell:
crew,noun, the sport of racing with racing shells:
crew,noun, a company; crowd:
crew,noun, any force or band of armed men.
crew,noun," to serve as a member of a crew on (a ship, aircraft, etc.)."
crew,noun," to obtain or employ a crew for (a ship, aircraft, etc.)."
crew,noun, to serve as a member of a crew.
crew,verb, a simple past tense of crow 2.
crime,noun, an action or an instance of negligence that is deemed injurious to the public welfare or morals or to the interests of the state and that is legally prohibited.
crime,noun, criminal activity and those engaged in it:
crime,noun, the habitual or frequent commission of crimes:
crime,noun," any offense, serious wrongdoing, or sin."
crime,noun," a foolish, senseless, or shameful act:"
criminal,adjective, of the nature of or involving crime.
criminal,adjective, guilty of crime.
criminal,adjective, Law. of or relating to crime or its punishment:
criminal,adjective, senseless; foolish:
criminal,adjective, exorbitant; grossly overpriced:
criminal,adjective, a person guilty or convicted of a crime.
crisis,noun," a stage in a sequence of events at which the trend of all future events, especially for better or for worse, is determined; turning point."
crisis,noun," a condition of instability or danger, as in social, economic, political, or international affairs, leading to a decisive change."
crisis,noun, a dramatic emotional or circumstantial upheaval in a person's life.
crisis,noun, Medicine/Medical. 
crisis,noun, the point in a play or story at which hostile elements are most tensely opposed to each other.
crisis,noun," of, referring to, or for use in dealing with a crisis."
criterion,noun, a standard of judgment or criticism; a rule or principle for evaluating or testing something.
critic,noun," a person who judges, evaluates, or criticizes:"
critic,noun," a person who judges, evaluates, or analyzes literary or artistic works, dramatic or musical performances, or the like, especially for a newspaper or magazine."
critic,noun," a person who tends too readily to make captious, trivial, or harsh judgments; faultfinder."
critic,noun, Archaic. 
critical,adjective," inclined to find fault or to judge with severity, often too readily:"
critical,adjective," involving criticism, or skillful judgment as to truth, merit, etc.:"
critical,adjective, occupied with or skilled in criticism:
critical,adjective," of or relating to critics or criticism, especially of literature, film, music, etc.:"
critical,adjective," providing textual variants, proposed emendations, etc.:"
critical,adjective, of the nature of a crisis; threatening a seriously bad outcome; grave:
critical,adjective, of decisive importance with respect to the outcome; crucial:
critical,adjective, essential; indispensable:
critical,adjective," Medicine/Medical. having unstable and abnormal vital signs and other unfavorable indicators, as loss of appetite, poor mobility, or unconsciousness:"
critical,adjective, Physics. 
criticism,noun, the act of passing judgment as to the merits of anything.
criticism,noun, the act of passing severe judgment; censure; faultfinding.
criticism,noun," the act or art of analyzing and evaluating or judging the quality of a literary or artistic work, musical performance, art exhibit, dramatic production, etc."
criticism,noun," a critical comment, article, or essay; critique."
criticism,noun," any of various methods of studying texts or documents for the purpose of dating or reconstructing them, evaluating their authenticity, analyzing their content or style, etc.:"
criticism,noun," investigation of the text, origin, etc., of literary documents, especially Biblical ones:"
criticize,verb (used with object), to censure or find fault with.
criticize,verb (used with object), to judge or discuss the merits and faults of:
criticize,verb (used with object), to find fault; judge unfavorably or harshly.
criticize,verb (used with object), to make judgments as to merits and faults.
crop,noun," the cultivated produce of the ground, while growing or when gathered:"
crop,noun, the yield of such produce for a particular season.
crop,noun, the yield of some other product in a season:
crop,noun, a supply produced.
crop,noun, a collection or group of persons or things appearing or occurring together:
crop,noun, the stock or handle of a whip.
crop,noun, Also called  riding crop. a short riding whip consisting of a stock without a lash.
crop,noun, Also called  craw. Zoology. 
crop,noun, the act of cropping.
crop,noun," a mark produced by clipping the ears, as of cattle."
crop,noun, a close-cropped hairstyle.
crop,noun, a head of hair so cut.
crop,noun, an entire tanned hide of an animal.
crop,noun, Mining. an outcrop of a vein or seam.
crop,noun," to cut off or remove the head or top of (a plant, grass, etc.)."
crop,noun, to cut off the ends or a part of:
crop,noun, to cut short:
crop,noun," to clip the ears, hair, etc., of."
crop,noun, Photography. to cut off or mask the unwanted parts of (a print or negative).
crop,noun, to cause to bear a crop or crops.
crop,noun," to graze off (the tops of plants, grass, etc.):"
crop,noun, to bear or yield a crop or crops.
crop,noun, to feed by cropping or grazing.
crop,noun,  (of women’s casual garments) shorter than is usual: 
crop,noun," to appear, especially suddenly or unexpectedly:"
crop,noun, 
cross,noun," a structure consisting essentially of an upright and a transverse piece, used to execute persons in ancient times."
cross,noun," any object, figure, or mark resembling a cross, as two intersecting lines."
cross,noun," a mark resembling a cross, usually an X, made instead of a signature by a person unable to write."
cross,noun," the Cross, the cross upon which Jesus died."
cross,noun," a figure of the Cross as a Christian emblem, badge, etc."
cross,noun, the Cross as the symbol of Christianity.
cross,noun," a small cross with a human figure attached to it, as a representation of Jesus crucified; crucifix."
cross,noun," a sign made with the right hand by tracing the figure of a cross in the air or by touching the foreheard, chest, and shoulders, as an act of devotion."
cross,noun," a structure or monument in the form of a cross, set up for prayer, as a memorial, etc."
cross,noun," any of various conventional representations or modifications of the Christian emblem used symbolically or for ornament, as in heraldry or art:"
cross,noun, the crucifixion of Jesus as the culmination of His redemptive mission.
cross,noun, any suffering endured for Jesus' sake.
cross,noun, the teaching of redemption gained by Jesus' death.
cross,noun," the Christian religion, or those who accept it; Christianity; Christendom."
cross,noun, an opposition; thwarting; frustration.
cross,noun, any misfortune; trouble.
cross,noun, a crossing of animals or plants; a mixing of breeds.
cross,noun," an animal, plant, breed, etc., produced by crossing; crossbreed."
cross,noun, a person or thing that is intermediate in character between two others.
cross,noun, Boxing. a punch thrown across and over the lead of an opponent:
cross,noun, Older Slang. a contest the result of which is dishonestly arranged beforehand:
cross,noun, a crossing.
cross,noun, a place of crossing.
cross,noun, Plumbing. a four-way joint or connection.
cross,noun, Theater. an actor's movement from one area of a stage to another.
cross,noun," Also called  cross-trade [kraws, -treyd, kros, -]. Stock Exchange. an arrangement for the simultaneous sale and purchase of a block of stock handled by a single broker."
cross,noun, Machinery. spider ( def ).
cross,noun, (initial capital letter) Astronomy. Southern Cross.
cross,noun," to move, pass, or extend from one side to the other side of (a street, river, etc.)."
cross,noun," to put or draw (a line, lines, etc.) across."
cross,noun, to cancel by marking with a cross or with a line or lines (often followed by off or out ).
cross,noun, to mark with a cross.
cross,noun, to lie or pass across; intersect.
cross,noun, to meet and pass.
cross,noun, to transport across something.
cross,noun, to assist or guide (a person) across a street or intersection:
cross,noun, to place in the form of a cross or crosswise.
cross,noun," Biology. to cause (members of different genera, species, breeds, varieties, or the like) to interbreed."
cross,noun, to oppose openly; thwart; frustrate.
cross,noun, Slang. to betray; double-cross.
cross,noun," to make the sign of a cross upon or over, as in devotion:"
cross,noun, Nautical. to set (a yard) in proper position on a mast.
cross,noun, Obsolete. to confront in a hostile manner.
cross,noun, to lie or be athwart; intersect.
cross,noun," to move, pass, or extend from one side or place to another:"
cross,noun, to meet and pass.
cross,noun, to interbreed.
cross,noun," Theater. to move from one side of the stage to the other, especially by passing downstage of another actor."
cross,noun, angry and annoyed; ill-humored; snappish:
cross,noun, lying or passing crosswise or across each other; athwart; transverse:
cross,noun," involving a reciprocal action, interchange, or the like:"
cross,noun, contrary; opposite:
cross,noun, adverse; unfavorable.
cross,noun, crossbred; hybrid.
cross,noun,  Also cross over to the other side.
cross,noun, 
Cross,noun," Wilbur Lucius, 1862–1948, U.S. educator: governor of Connecticut 1931–39."
cross-,N/A," a combining form of cross, used to indicate an interaction or exchange of two or more things ( cross-addicted, cross-cultural, cross-pollination ), the extension across a space or the covering of a distance ( cross-border, crosscountry ), or the passing across or perpendicular intersection with something ( crossbar, crosscurrent )."
crowd,noun, a large number of persons gathered closely together; throng:
crowd,noun, any large number of persons.
crowd,noun, any group or set of persons with something in common:
crowd,noun, audience; attendance:
crowd,noun, the common people; the masses:
crowd,noun, a large number of things gathered or considered together.
crowd,noun, Sociology. a temporary gathering of people responding to common stimuli and engaged in any of various forms of collective behavior.
crowd,noun, to gather in large numbers; throng; swarm.
crowd,noun, to press forward; advance by pushing.
crowd,noun, to press closely together; force into a confined space; cram:
crowd,noun, to push; shove.
crowd,noun, to fill to excess; fill by pressing or thronging into.
crowd,noun, to place under pressure or stress by constant solicitation:
crowd,noun," an ancient Celtic musical instrument with the strings stretched over a rectangular frame, played with a bow."
crowded,adjective, filled to excess; packed.
crowded,adjective, filled with a crowd:
crowded,adjective, uncomfortably close together:
crucial,adjective, involving an extremely important decision or result; decisive; critical:
crucial,adjective, severe; trying.
crucial,adjective, of the form of a cross; cross-shaped.
cruel,adjective, willfully or knowingly causing pain or distress to others.
cruel,adjective, enjoying the pain or distress of others:
cruel,adjective, causing or marked by great pain or distress:
cruel,adjective, rigid; stern; strict; unrelentingly severe.
cry,verb (used without object)," to utter inarticulate sounds, especially of lamentation, grief, or suffering, usually with tears."
cry,verb (used without object)," to weep; shed tears, with or without sound."
cry,verb (used without object), to call loudly; shout; yell (sometimes followed by out ).
cry,verb (used without object), to demand resolution or strongly indicate a particular disposition:
cry,verb (used without object)," to give forth vocal sounds or characteristic calls, as animals; yelp; bark."
cry,verb (used without object), (of a hound or pack) to bay continuously and excitedly in following a scent.
cry,verb (used without object)," (of tin) to make a noise, when bent, like the crumpling of paper."
cry,verb (used without object), to utter or pronounce loudly; call out.
cry,verb (used without object), to announce publicly as for sale; advertise:
cry,verb (used without object), to beg or plead for; implore:
cry,verb (used without object), to bring (oneself ) to a specified state by weeping:
cry,verb (used without object)," the act or sound of crying; any loud utterance or exclamation; a shout, scream, or wail."
cry,verb (used without object), clamor; outcry.
cry,verb (used without object), a fit of weeping:
cry,verb (used without object), the utterance or call of an animal.
cry,verb (used without object), a political or party slogan.
cry,verb (used without object), battle cry.
cry,verb (used without object), an oral proclamation or announcement.
cry,verb (used without object)," a call of wares for sale, services available, etc., as by a street vendor."
cry,verb (used without object), public report.
cry,verb (used without object), an opinion generally expressed.
cry,verb (used without object), an entreaty; appeal.
cry,verb (used without object), Fox Hunting. 
cry,verb (used without object)," to break a promise, agreement, etc.:"
cry,verb (used without object), to praise; extol:
cry,verb (used without object), to disparage; belittle:
cultural,adjective, of or relating to culture or cultivation.
culture,noun," the quality in a person or society that arises from a concern for what is regarded as excellent in arts, letters, manners, scholarly pursuits, etc."
culture,noun," that which is excellent in the arts, manners, etc."
culture,noun," a particular form or stage of civilization, as that of a certain nation or period:"
culture,noun, development or improvement of the mind by education or training.
culture,noun," the behaviors and beliefs characteristic of a particular group of people, as a social, ethnic, professional, or age group (usually used in combination):"
culture,noun," the shared beliefs, behaviors, or social environment connected with a particular aspect of society:"
culture,noun," the values, typical practices, and goals of a business or other organization, especially a large corporation:"
culture,noun, Anthropology. the sum total of ways of living built up by a group of human beings and transmitted from one generation to another.
culture,noun, Biology. 
culture,noun, the act or practice of cultivating the soil; tillage.
culture,noun," the raising of plants or animals, especially with a view to their improvement."
culture,noun, the product or growth resulting from such cultivation.
culture,noun, to subject to culture; cultivate.
culture,noun, Biology. 
cup,noun," a small, open container made of china, glass, metal, paper, plastic, etc., sometimes having a handle and used chiefly as a receptacle from which to drink hot or cold beverages, soup, etc."
cup,noun, the bowllike part of a goblet or the like.
cup,noun, a cup with its contents:
cup,noun, the quantity contained in a cup:
cup,noun," a unit of capacity, equal to 8 fluid ounces (237 milliliters) or 16 tablespoons; half-pint."
cup,noun," an ornamental bowl, vase, etc., especially of precious metal, offered as a prize for a contest."
cup,noun," any of various beverages, such as a mixture of wine and other ingredients:"
cup,noun, the chalice used in the Eucharist.
cup,noun, the wine of the Eucharist.
cup,noun," something to be partaken of or endured; one's portion, as of joy or suffering."
cup,noun," any cuplike utensil, organ, part, cavity, etc."
cup,noun," either of the two forms that cover and usually support the breasts in a bra or other garment, such as a bathing suit."
cup,noun, an athletic supporter reinforced with rigid plastic or metal for added protection.
cup,noun, Golf. 
cup,noun," Cup, Astronomy. the constellation Crater."
cup,noun, cupping glass ( def ).
cup,noun," Metalworking. a cylindrical shell closed at one end, especially one produced in the first stages of a deep-drawing operation."
cup,noun," Mathematics.  the cuplike symbol ∪, used to indicate the union of two sets. Compare union ( def 10a )."
cup,noun," cups, Archaic. the drinking of intoxicating liquors."
cup,noun," to take or place in, or as in, a cup:"
cup,noun, to form into a cuplike shape:
cup,noun, to use a cupping glass on.
cup,noun," Metalworking.  to form (tubing, containers, etc.) by punching hot strip or sheet metal and drawing it through a die. Compare deep-draw."
cupboard,noun," a closet with shelves for dishes, cups, etc."
cupboard,noun," Chiefly British. any small closet or cabinet, as for clothes, food, or the like."
cure,noun, a means of healing or restoring to health; remedy.
cure,noun," a method or course of remedial treatment, as for disease."
cure,noun, successful remedial treatment; restoration to health.
cure,noun, a means of correcting or relieving anything that is troublesome or detrimental:
cure,noun," the act or a method of preserving meat, fish, etc., by smoking, salting, or the like."
cure,noun, spiritual or religious charge of the people in a certain district.
cure,noun, the office or district of a curate or parish priest.
cure,noun, to restore to health.
cure,noun," to relieve or rid of something detrimental, such as an illness or a bad habit."
cure,noun," to correct (a document, especially a mail-in ballot) in order to make it valid:"
cure,noun," to prepare (meat, fish, etc.) for preservation by salting, drying, etc."
cure,noun," to promote hardening of (fresh concrete or mortar), as by keeping it damp."
cure,noun," to process (rubber, tobacco, etc.) as by fermentation or aging."
cure,noun, to effect a cure.
cure,noun, to become cured.
curé,noun, (in France) a parish priest.
curly,adjective, curling curling or tending to curl:
curly,adjective, having curls (usually used in combination):
curly,adjective," having a rippled or undulating appearance, as cut and finished wood:"
currency,noun, something that is used as a medium of exchange; money.
currency,noun, general acceptance; prevalence; vogue.
currency,noun, a time or period during which something is widely accepted and circulated.
currency,noun, the fact or quality of being widely accepted and circulated from person to person.
currency,noun," circulation, as of coin."
current,adjective, passing in time; belonging to the time actually passing:
current,adjective, prevalent; customary:
current,adjective, popular; in vogue:
current,adjective, new; present; most recent:
current,adjective, publicly reported or known:
current,adjective," passing from one to another; circulating, as a coin."
current,adjective, Archaic. running; flowing.
current,adjective, Obsolete. genuine; authentic.
current,adjective," a flowing; flow, as of a river."
current,adjective," something that flows, as a stream."
current,adjective," a large portion of air, large body of water, etc., moving in a certain direction."
current,adjective, the speed at which such flow moves; velocity of flow.
current,adjective, Electricity. electric current.
current,adjective," a course, as of time or events; the main course; the general tendency."
currently,adverb, at the presenttime; now:
curtain,noun," a hanging piece of fabric used to shut out the light from a window, adorn a room, increase privacy, etc."
curtain,noun, a movable or folding screen used for similar purposes.
curtain,noun, Chiefly New England. a window shade.
curtain,noun, Theater. 
curtain,noun," anything that shuts off, covers, or conceals:"
curtain,noun, Architecture. a relatively flat or featureless extent of wall between two pavilions or the like.
curtain,noun," Fortification. the part of a wall or rampart connecting two bastions, towers, or the like."
curtain,noun," curtains, Slang. the end; death, especially by violence:"
curtain,noun," to provide, shut off, conceal, or adorn with, or as if with, a curtain."
curve,noun," a continuously bending line, without angles."
curve,noun, the act or extent of curving.
curve,noun," any curved outline, form, thing, or part."
curve,noun," a curved section of a road, path, hallway, etc."
curve,noun," Railroads. a curved section of track: in the U.S. the curve is often expressed as the central angle, measured in degrees, of a curved section of track subtended by a chord 100 feet (30 meters) long degree of curve."
curve,noun, Baseball. 
curve,noun, a graphic representation of the variations effected in something by the influence of changing conditions; graph.
curve,noun, Mathematics. a collection of points whose coordinates are continuous functions of a single independent variable.
curve,noun, a misleading or deceptive trick; cheat; deception.
curve,noun," Education.  a grading system based on the scale of performance, so that those performing better relative to others in the group, regardless of their actual knowledge of the subject, receive high grades: Compare absolute ( def 10 )."
curve,noun, a curved guide used in drafting.
curve,noun, to bend in a curve; cause to take the course of a curve.
curve,noun, to grade on a curve.
curve,noun, to bend in a curve; take the course of a curve.
curve,noun, Baseball. to pitch a curveball:
curve,noun, having the shape of a curve; curved.
custom,noun, a habitual practice; the usual way of acting in given circumstances.
custom,noun, habits or usages collectively; convention.
custom,noun, a practice so long established that it has the force of law.
custom,noun, such practices collectively.
custom,noun, Sociology. a group pattern of habitual activity usually transmitted from one generation to another.
custom,noun, toll; duty.
custom,noun," customs, "
custom,noun," regular patronage of a particular shop, restaurant, etc."
custom,noun," the customers or patrons of a business firm, collectively."
custom,noun, the aggregate of customers.
custom,noun," (in medieval Europe) a customary tax, tribute, or service owed by peasants to their lord."
custom,noun, made specially for individual customers:
custom,noun," dealing in things so made, or doing work to order:"
customer,noun, a person who purchases goods or services from another; buyer; patron.
customer,noun, Informal. a person one has to deal with:
cut,verb (used with object), to penetrate with or as if with a sharp-edged instrument or object:
cut,verb (used with object), to divide with or as if with a sharp-edged instrument; sever; carve:
cut,verb (used with object), to detach with or as if with a sharp-edged instrument; separate from the main body; lop off:
cut,verb (used with object), to hew or saw down; fell:
cut,verb (used with object), to hollow out; excavate; dig:
cut,verb (used with object)," to trim by clipping, shearing, paring, or pruning:"
cut,verb (used with object), to mow; reap; harvest:
cut,verb (used with object), to abridge or shorten; edit by omitting a part or parts:
cut,verb (used with object), to repeatedly inflict injury on (oneself) by deliberately cutting the skin; to self-harm with a sharp-edged object.
cut,verb (used with object)," to lower, reduce, diminish, or curtail (sometimes followed by down ):"
cut,verb (used with object), to dilute; make less thick:
cut,verb (used with object), to dissolve:
cut,verb (used with object), to intersect; cross:
cut,verb (used with object), Informal. to cease; discontinue (often followed by out ):
cut,verb (used with object)," to stop; halt the running of, as a liquid or an engine (often followed by off ):"
cut,verb (used with object), to dilute or adulterate (a drug) by mixing it with other substances.
cut,verb (used with object), to grow (a tooth or teeth) through the gum:
cut,verb (used with object)," to type, write, or draw on (a stencil) for mimeographing."
cut,verb (used with object)," to make or fashion by cutting, as a statue, jewel, or garment."
cut,verb (used with object), Glassmaking. to produce a pattern (in glass) by grinding and polishing.
cut,verb (used with object), to refuse to recognize socially; shun ostentatiously:
cut,verb (used with object)," to strike sharply, as with a whip."
cut,verb (used with object), to absent oneself from:
cut,verb (used with object)," Movies, Television. "
cut,verb (used with object)," Computers.  to remove (selected text, images, etc.) from a file to store in temporary memory until pasted elsewhere. Compare copy ( def 15 ), paste ( def 13 )."
cut,verb (used with object), to wound the feelings of severely.
cut,verb (used with object), Cards. 
cut,verb (used with object), to record a selection on (a vinyl record or tape); make a recording of.
cut,verb (used with object), to castrate; geld.
cut,verb (used with object), Sports. to hit (a ball) with either the hand or some instrument so as to change its course and often to cause it to spin.
cut,verb (used with object)," Cricket. to strike and send off (a ball) in front of the batsman, and parallel to the wicket."
cut,verb (used with object)," Slang. to be a nonplaying dealer, manager, or supervisor of (a card game, crap game, or other gambling game) in return for a percentage of the money bet or sometimes for a fee."
cut,verb (used with object)," to penetrate or divide something, as with a sharp-edged instrument; make an incision:"
cut,verb (used with object), to admit of being cut:
cut,verb (used with object), to repeatedly inflict self-harm by deliberately cutting the skin.
cut,verb (used with object)," to pass, go, or come, especially in the most direct way (usually followed by across, through, in, etc.):"
cut,verb (used with object)," Movies, Television. "
cut,verb (used with object), to make a sudden or sharp turn in direction; change direction suddenly; swerve:
cut,verb (used with object)," to strike a person, animal, etc., sharply, as with a whip."
cut,verb (used with object), to wound the feelings severely:
cut,verb (used with object), (of the teeth) to grow through the gums.
cut,verb (used with object)," Computers.  to remove selected text, images, etc., from a file for storage in temporary memory until pasted elsewhere. Compare copy ( def 17 ), paste ( def 14 )."
cut,verb (used with object), Cards. to cut the cards.
cut,verb (used with object), Informal. to leave hastily:
cut,verb (used with object), (of a horse) interfere ( def 5 ).
cut,verb (used with object), to separate a specific animal from a herd of cattle.
cut,verb (used with object), divided into pieces by cutting; detached by cutting:
cut,verb (used with object)," fashioned by cutting; having the surface shaped or ornamented by grinding, polishing, or the like:"
cut,verb (used with object), reduced by or as if by cutting: The cut prices came just in time for the holidays.
cut,verb (used with object), Slang. having very sculpted muscles and little body fat:
cut,verb (used with object), Botany. incised; cleft.
cut,verb (used with object), castrated; gelded.
cut,verb (used with object), Slang. drunk ( def ).
cut,verb (used with object)," the act of cutting; a stroke or a blow, as with a knife, whip, etc."
cut,verb (used with object)," the result of cutting, as an incision, wound, passage, or channel."
cut,verb (used with object), a piece cut off:
cut,verb (used with object)," Informal. a share, especially of earnings or profits:"
cut,verb (used with object)," a haircut, often with a styling."
cut,verb (used with object)," a reduction in price, salary, etc."
cut,verb (used with object), the manner or fashion in which anything is cut:
cut,verb (used with object), style; manner; kind:
cut,verb (used with object), a passage or course straight across or through:
cut,verb (used with object), an excision or omission of a part.
cut,verb (used with object), a part or quantity of text deleted or omitted.
cut,verb (used with object)," a quantity cut, especially of lumber."
cut,verb (used with object), a refusal to recognize an acquaintance.
cut,verb (used with object)," an act, speech, etc., that wounds the feelings."
cut,verb (used with object), an engraved plate or block of wood used for printing.
cut,verb (used with object), a printed picture or illustration.
cut,verb (used with object)," an absence, as from a school class, at which attendance is required."
cut,verb (used with object), Butchering. part of an animal usually cut as one piece.
cut,verb (used with object), Cards. a cutting of the cards.
cut,verb (used with object), Sports. 
cut,verb (used with object), Fencing. a blow with the edge of the blade instead of the tip.
cut,verb (used with object)," one of several pieces of straw, paper, etc., used in drawing lots."
cut,verb (used with object)," Movies, Television. "
cut,verb (used with object)," an individual song, musical piece, or other similar material on a record or tape."
cut,verb (used with object), any product of the fractional distillation of petroleum.
cut,verb (used with object)," Slang. a vest worn by motorcyclists, typically made of leather or sometimes denim, and often decorated with patches, insignias, etc."
cut,verb (used with object), 
cut,verb (used with object), to precede or go beyond considerations of; transcend:
cut,verb (used with object), 
cut,verb (used with object), 
cut,verb (used with object), 
cut,verb (used with object), 
cycle,noun, any complete round or series of occurrences that repeats or is repeated.
cycle,noun," a round of years or a recurring period of time, especially one in which certain events or phenomena repeat themselves in the same order and at the same intervals."
cycle,noun, any long period of years; age.
cycle,noun," a bicycle, motorcycle, tricycle, etc."
cycle,noun," a group of poems, dramas, prose narratives, songs etc., about a central theme, figure, or the like:"
cycle,noun, Physics. 
cycle,noun, Mathematics. a permutation of a set of elements that leaves the original cyclic order of the elements unchanged.
cycle,noun, Computers. 
cycle,noun," to ride or travel by bicycle, motorcycle, tricycle, etc."
cycle,noun, to move or revolve in cycles; pass through cycles.
dad,noun, a person’s father or one’s father.
dad,noun, a person who is corny or embarrassing in the way that a father figure might be:
dad,noun, a term of endearment used to refer to a man or boy who is admired:
dad,noun, corny or embarrassing in the way that a father figure might be: the most dad story ever.
dad,noun, handsome or stylish; amazing; to be admired:
dad,noun, to act as a father toward; act paternally toward:
dad,noun, to refer to (an admired man or boy) as “dad”:
dad,noun, to perform the tasks or duties of a male parent; act paternally:
dad,noun, to refer to an admired man or boy as “dad”:
dad,interjection, God (used in combination in mild oaths):
dad,noun, a solid blow or knock.
dad,noun," a large slice, lump, or portion."
ḍad,noun, the 15th letter of the Arabic alphabet.
daily,adjective," of, done, occurring, or issued each day or each weekday:"
daily,adjective, computed or measured by the day:
daily,adjective, a newspaper appearing each day or each weekday.
daily,adjective," dailies, Movies. a series of hastily printed shots from the previous day's shooting, selected by the director to be viewed for possible inclusion in the final version of the film; rushes."
daily,adjective, British. 
daily,adjective, every day; day by day:
damage,noun, injury or harm that reduces value or usefulness:
damage,noun," damages, Law. the estimated money equivalent for detriment or injury sustained."
damage,noun, Often damages. Informal. cost; expense; charge:
damage,noun, to cause damage to; injure or harm; reduce the value or usefulness of:
damage,noun, to become damaged:
dance,verb (used without object)," to move one's feet or body, or both, rhythmically in a pattern of steps, especially to the accompaniment of music."
dance,verb (used without object)," to leap, skip, etc., as from excitement or emotion; move nimbly or quickly:"
dance,verb (used without object), to bob up and down:
dance,verb (used without object), to perform or take part in (a dance):
dance,verb (used without object), to cause to dance:
dance,verb (used without object), to cause to be in a specified condition by dancing:
dance,verb (used without object)," a successive group of rhythmical steps or bodily motions, or both, usually executed to music."
dance,verb (used without object), an act or round of dancing; set:
dance,verb (used without object), the art of dancing:
dance,verb (used without object), a social gathering or party for dancing; ball:
dance,verb (used without object), a piece of music suited in rhythm or style to a particular form of dancing:
dance,verb (used without object)," Animal Behavior. a stylized pattern of movements performed by an animal, as a bird in courtship display, or an insect, as a honeybee in indicating a source of nectar."
dance,verb (used without object)," the dance, ballet, interpretive dancing, and other dancing of an artistic nature performed by professional dancers before an audience."
dancer,noun, a person who dances.
dancer,noun," a person who dances professionally, as on the stage."
Dancer,noun," Stanley, 1927–2005, U.S. harness racer and trainer."
danger,noun, liability or exposure to harm or injury; risk; peril.
danger,noun, an instance or cause of peril; menace.
danger,noun, Obsolete. power; jurisdiction; domain.
dangerous,adjective, full of danger danger or risk; causing danger; danger; perilous; risky; hazardous; unsafe.
dangerous,adjective, able or likely to cause physical injury:
dark,adjective, having very little or no light:
dark,adjective," radiating, admitting, or reflecting little light:"
dark,adjective, approaching black in hue:
dark,adjective, not pale or fair in skin tone:
dark,adjective, brunette; brown or black:
dark,adjective, having brown or black hair:
dark,adjective," (of food or drink, especially coffee beans) roasted, cooked, or toasted until near black in color: often used to describe the process itself:"
dark,adjective, (of coffee) containing only a small amount of milk or cream:
dark,adjective, evil; iniquitous; wicked:
dark,adjective, gloomy; cheerless; dismal:
dark,adjective," dealing with subject matter that is shocking, disturbing, or grim:"
dark,adjective, sullen; frowning:
dark,adjective, hidden; secret.
dark,adjective, hard to understand; obscure:
dark,adjective, silent; reticent.
dark,adjective, destitute of knowledge or culture; unenlightened.
dark,adjective, (of a theater) offering no performances; closed:
dark,adjective, Phonetics. 
dark,adjective, the absence of light; darkness:
dark,adjective, night; nightfall:
dark,adjective," a color close to black, or something having such a color:"
dark,adjective, Archaic. a place that lacks light:
dark,adjective, to make dark; darken:
dark,adjective, Obsolete. to grow dark; darken.
data,noun," (usually used with a singular verb) Digital Technology. information in digital format, as encoded text or numbers, or multimedia images, audio, or video:"
data,noun, (used with a singular verb) a body of facts; information:
data,noun," (used with a plural verb) individual facts, statistics, or items of information:"
data,noun, a plural of datum.
date,noun," a particular month, day, and year at which some event happened or will happen:"
date,noun, the day of the month:
date,noun," an inscription on a writing, coin, etc., that shows the time, or time and place, of writing, casting, delivery, etc.:"
date,noun, the time or period to which any event or thing belongs; period in general:
date,noun, the time during which anything lasts; duration:
date,noun, an appointment for a particular time:
date,noun," a social appointment or engagement arranged beforehand with another person, especially when a romantic relationship exists or may develop:"
